Therapeutic_Properties,Evidence_Level,Data_Quality_Score,Data_Source,Interaction_ID,Target_Name,Herb_Name,Compound_Name,Ki_nM,Is_Synthetic,IC50_nM,Species,Confidence_Score,Action_Type
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,4000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,1700.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,53000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,38000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,44000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,4000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,6400.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,1400.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,7000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,2300.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,1400.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,670.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,3900.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,520.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,3300.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,32000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,86000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,90000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,71000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,24000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,7.7,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,5.8,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,4.9,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,0.7,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,160.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,280.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,1600.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,110.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,560.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,170.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,350.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,86.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,170.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,28.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,4400.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,120000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.52,BindingDB_Real,583c688f8df75cf2,Epidermal growth factor receptor,Cinnamon,"(2E)-3-(3,4-dihydroxyphenyl)-2-[(3,4-dihydroxyphenyl)carbonyl]prop-2-enenitrile::cid_5328760::3,4-Dihydroxy-a-(3,4-dihydroxybenzoyl)-cis-cinnamonitrile 2-Cyano-3 ,4 -dihydroxyacetophenone::Tyrphostin deriv. 24",,0,370.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.52,BindingDB_Real,ad780e0ff830453e,Epidermal growth factor receptor,Cinnamon,"(2E)-3-(3,4-dihydroxyphenyl)-2-[(4-fluorophenyl)carbonyl]prop-2-enenitrile::3,4-Dihydroxy-a-(p-fluorobenzoyl)-cis-cinnamonitrile::Tyrphostin deriv. 25",,0,560.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,756b0b23e0e971d0,Cyclin-dependent kinase 1/G2/mitotic-specific cyclin-B,Cinnamon,cinnamaldehyde,,0,130000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,756b0b23e0e971d0,Cyclin-dependent kinase 1/G2/mitotic-specific cyclin-B,Cinnamon,cinnamaldehyde,,0,30000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,756b0b23e0e971d0,Cyclin-dependent kinase 1/G2/mitotic-specific cyclin-B,Cinnamon,cinnamaldehyde,,0,50000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,756b0b23e0e971d0,Cyclin-dependent kinase 1/G2/mitotic-specific cyclin-B,Cinnamon,cinnamaldehyde,,0,50000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,756b0b23e0e971d0,Cyclin-dependent kinase 1/G2/mitotic-specific cyclin-B,Cinnamon,cinnamaldehyde,,0,200000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,756b0b23e0e971d0,Cyclin-dependent kinase 1/G2/mitotic-specific cyclin-B,Cinnamon,cinnamaldehyde,,0,60000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,ac9ae08e0ff67540,Cyclin-dependent kinase 4/G1/S-specific cyclin-D1,Cinnamon,cinnamaldehyde,,0,35000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,ac9ae08e0ff67540,Cyclin-dependent kinase 4/G1/S-specific cyclin-D1,Cinnamon,cinnamaldehyde,,0,45000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,ac9ae08e0ff67540,Cyclin-dependent kinase 4/G1/S-specific cyclin-D1,Cinnamon,cinnamaldehyde,,0,11000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,ac9ae08e0ff67540,Cyclin-dependent kinase 4/G1/S-specific cyclin-D1,Cinnamon,cinnamaldehyde,,0,7500.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,ac9ae08e0ff67540,Cyclin-dependent kinase 4/G1/S-specific cyclin-D1,Cinnamon,cinnamaldehyde,,0,18000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,ac9ae08e0ff67540,Cyclin-dependent kinase 4/G1/S-specific cyclin-D1,Cinnamon,cinnamaldehyde,,0,15000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,2820.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,2100.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,280.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,3600.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,760.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,51.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,168.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,144.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,680.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,5130.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,106.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,150.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,2e9aab58b07184e7,Aromatase,Cinnamon,coumarin,,0,1130.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f0c11fdaab55b736,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f9677578edf7ef45,Caspase-3,Cinnamon,cinnamic acid,,0,7.95,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f9677578edf7ef45,Caspase-3,Cinnamon,cinnamic acid,,0,8.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,53ac6af207c1f785,Caspase-1,Cinnamon,cinnamic acid,,0,1800.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,15666c6ebe2a6e37,Caspase-7,Cinnamon,cinnamic acid,,0,24.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,cde50c34d62abbd0,Caspase-8,Cinnamon,cinnamic acid,,0,3850.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,a9f1df45dde9e9c7,Aldo-keto reductase family 1 member B1,Cinnamon,cinnamic acid,280000.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c26a88a049b16877,Carbonic anhydrase 1,Cinnamon,coumarin,74.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c26a88a049b16877,Carbonic anhydrase 1,Cinnamon,coumarin,69.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c26a88a049b16877,Carbonic anhydrase 1,Cinnamon,coumarin,66.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,b3ab3ba02c6626d4,Carbonic anhydrase 2,Cinnamon,coumarin,13.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,b3ab3ba02c6626d4,Carbonic anhydrase 2,Cinnamon,coumarin,12.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,b3ab3ba02c6626d4,Carbonic anhydrase 2,Cinnamon,coumarin,10.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,79c79b75149b3a3a,"Carbonic anhydrase 5A, mitochondrial",Cinnamon,coumarin,20.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,79c79b75149b3a3a,"Carbonic anhydrase 5A, mitochondrial",Cinnamon,coumarin,20.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,79c79b75149b3a3a,"Carbonic anhydrase 5A, mitochondrial",Cinnamon,coumarin,18.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,1000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,760.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,670.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,630.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,5000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,1000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,10000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,151.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,bd1e2eaf5506284e,Beta-secretase 1,Cinnamon,coumarin,,0,580.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f53ee675944bb090,Amine oxidase [flavin-containing] A,Cinnamon,coumarin,15700.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,f53ee675944bb090,Amine oxidase [flavin-containing] A,Cinnamon,coumarin,11000.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,43f1536fe39b6504,Amine oxidase [flavin-containing] B,Cinnamon,coumarin,100.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,43f1536fe39b6504,Amine oxidase [flavin-containing] B,Cinnamon,coumarin,400.0,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,9f5fbf48914f9d9c,Coagulation factor XII,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,9f5fbf48914f9d9c,Coagulation factor XII,Cinnamon,coumarin,,0,,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,9f5fbf48914f9d9c,Coagulation factor XII,Cinnamon,coumarin,,0,33000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,9f5fbf48914f9d9c,Coagulation factor XII,Cinnamon,coumarin,,0,29000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,9f5fbf48914f9d9c,Coagulation factor XII,Cinnamon,coumarin,,0,23000.0,,,
